"","Sample ID","Analyte","Vista","Eurofins","diff","percent_diff"
"210","JBA049-SW-DOWN-033021","PFPeA",95.6,91,4.59999999999999,4.93033226152197
"211","JBA049-SW-DOWN-033021","PFBS",45.7,51,-5.3,-10.9617373319545
"212","JBA049-SW-DOWN-033021","PFHxA",189,200,-11,-5.65552699228792
"213","JBA049-SW-DOWN-033021","PFPeS",48.1,58,-9.9,-18.6616399622997
"214","JBA049-SW-DOWN-033021","PFHpA",40.8,49,-8.2,-18.2628062360802
"215","JBA049-SW-DOWN-033021","PFHxS",535,440,95,19.4871794871795
"216","JBA049-SW-DOWN-033021","6:2 FTS",104,120,-16,-14.2857142857143
"217","JBA049-SW-DOWN-033021","PFOA",239,250,-11,-4.49897750511247
"218","JBA049-SW-DOWN-033021","PFHpS",14.6,15,-0.4,-2.7027027027027
"219","JBA049-SW-DOWN-033021","PFNA",11.4,18,-6.6,-44.8979591836735
"220","JBA049-SW-DOWN-033021","PFOSA",12.8,4.8,8,90.9090909090909
"221","JBA049-SW-DOWN-033021","PFOS",639,490,149,26.3950398582817
"222","JBA050-SW-EXIT-033021","PFBA",32.3,31,1.3,4.10742496050552
"223","JBA050-SW-EXIT-033021","PFPrS",18.1,NA,NA,NA
"224","JBA050-SW-EXIT-033021","PFPeA",93,100,-7,-7.25388601036269
"225","JBA050-SW-EXIT-033021","PFBS",46,46,0,0
"226","JBA050-SW-EXIT-033021","PFHxA",169,200,-31,-16.8021680216802
"227","JBA050-SW-EXIT-033021","PFPeS",46.6,51,-4.4,-9.01639344262295
"228","JBA050-SW-EXIT-033021","PFHpA",45.1,50,-4.9,-10.3049421661409
"229","JBA050-SW-EXIT-033021","PFHxS",550,470,80,15.6862745098039
"230","JBA050-SW-EXIT-033021","6:2 FTS",107,130,-23,-19.4092827004219
"231","JBA050-SW-EXIT-033021","PFOA",209,270,-61,-25.4697286012526
"232","JBA050-SW-EXIT-033021","PFHpS",15.1,16,-0.9,-5.78778135048232
"233","JBA050-SW-EXIT-033021","PFNA",10.9,15,-4.1,-31.6602316602317
"234","JBA050-SW-EXIT-033021","PFOSA",12.4,4.4,8,95.2380952380952
"235","JBA050-SW-EXIT-033021","PFOS",538,520,18,3.40264650283554
"236","JBA107-SW-SPILL-06232021","PFBA",43.2,50,-6.8,-14.5922746781116
"237","JBA107-SW-SPILL-06232021","PFPrS",33.6,NA,NA,NA
"238","JBA107-SW-SPILL-06232021","PFPeA",136,150,-14,-9.79020979020979
"239","JBA107-SW-SPILL-06232021","PFBS",61.4,71,-9.6,-14.5015105740181
"240","JBA107-SW-SPILL-06232021","PFHxA",230,240,-10,-4.25531914893617
"241","JBA107-SW-SPILL-06232021","PFPeS",63.7,79,-15.3,-21.4435879467414
"242","JBA107-SW-SPILL-06232021","PFHpA",61.3,59,2.3,3.82377389858686
"243","JBA107-SW-SPILL-06232021","PFHxS",673,700,-27,-3.93299344501093
"244","JBA107-SW-SPILL-06232021","6:2 FTS",152,170,-18,-11.1801242236025
